CoffeeShop Name,URL,Address,Phone,Rating,Review count,Excellent Reviews,Good Reviews,Average Reviews,Poor Reviews,Terrible Reviews,Accepts Credit Cards,Seating,Free Wifi,Visa,Mastercard,Delivery,Takeout,Reservations,Street Parking,Non-smoking restaurants,Parking Available,Family style,Digital Payments,Table Service,Wine and Beer,Serves Alcohol,Outdoor Seating,American Express,Dog Friendly,Full Bar,Wheelchair Accessible,Cash Only,Discover,Free off-street parking,Drive Thru,Television,Live Music,Highchairs Available,Gift Cards Available,Private Dining,Playgrounds,Buffet,Sports bars,Jazz Bar,Validated Parking,Valet Parking,Waterfront,Beach
The Cups Coffee Shop,https://www.tripadvisor.com/Restaurant_Review-g293934-d29623603-Reviews-The_Cups_Coffee_Shop-Baku_Absheron_Region.html,"Tarlan Aliyarbeyov 18A, Baku 1005 Azerbaijan",+994 55 389 68 88,N/A,0,N/A,N/A,N/A,N/A,N/A,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee Land,https://www.tripadvisor.com/Restaurant_Review-g293934-d23519156-Reviews-Coffee_Land-Baku_Absheron_Region.html,"Nigar Rafibeyli 23, Baku 1000 Azerbaijan",+994 70 577 99 90,N/A,0,N/A,N/A,N/A,N/A,N/A,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ormado Kaffeehaus,https://www.tripadvisor.com/Restaurant_Review-g293934-d27145533-Reviews-Ormado_Kaffeehaus-Baku_Absheron_Region.html,"Zefir Mall, Baku Azerbaijan",+994 50 253 55 63,N/A,0,N/A,N/A,N/A,N/A,N/A,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Street 9 Bar,https://www.tripadvisor.com/Restaurant_Review-g293934-d26093950-Reviews-Street_9_Bar-Baku_Absheron_Region.html,"Nizami 138, Baku AZ1001 Azerbaijan",+994 99 300 91 23,N/A,0,N/A,N/A,N/A,N/A,N/A,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cofferica Coffee Roasters,https://www.tripadvisor.com/Restaurant_Review-g293934-d23706865-Reviews-Cofferica_Coffee_Roasters-Baku_Absheron_Region.html,"Gulara Gadirbayova, 8h, Baku 1008 Azerbaijan",+994 55 460 00 01,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neo Cafe,https://www.tripadvisor.com/Restaurant_Review-g293934-d28043641-Reviews-Neo_Cafe-Baku_Absheron_Region.html,"Mərkəzi Bulvar Küçəsi, Baku 1123 Azerbaijan",+994 50 687 77 77,N/A,0,N/A,N/A,N/A,N/A,N/A,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali Coffee Roasting,https://www.tripadvisor.com/Restaurant_Review-g293934-d26053859-Reviews-Ali_Coffee_Roasting-Baku_Absheron_Region.html,"Zarifa Aliyeva St., 67A, Baku 1000 Azerbaijan",+994 70 599 91 12,N/A,0,N/A,N/A,N/A,N/A,N/A,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Coffeebear,https://www.tripadvisor.com/Restaurant_Review-g293934-d27963458-Reviews-Coffeebear-Baku_Absheron_Region.html,"Nigar Refibeyli 12/14 Passage 1901, Baku 1001AZ Azerbaijan",+994 50 282 06 00,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sky Coffee,https://www.tripadvisor.com/Restaurant_Review-g293934-d13199982-Reviews-Sky_Coffee-Baku_Absheron_Region.html,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee And Milk Baku,https://www.tripadvisor.com/Restaurant_Review-g293934-d21409921-Reviews-Coffee_And_Milk_Baku-Baku_Absheron_Region.html,"28 May 56c, Baku 1000 Azerbaijan",+994 12 493 96 47,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgian Chocolate & Coffee Ag Seher,https://www.tripadvisor.com/Restaurant_Review-g293934-d30794619-Reviews-Belgian_Chocolate_Coffee_Ag_Seher-Baku_Absheron_Region.html,N/A,+994 50 716 77 04,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lovelokum,https://www.tripadvisor.com/Restaurant_Review-g293934-d28652844-Reviews-Lovelokum-Baku_Absheron_Region.html,"Nizami 91, Baku AZ1010 Azerbaijan",+994 51 205 86 85,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caffè Bristot,https://www.tripadvisor.com/Restaurant_Review-g293934-d27515618-Reviews-Caffe_Bristot-Baku_Absheron_Region.html,"63, Nizami Street, Baku AZ1005 Azerbaijan",N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spice Master,https://www.tripadvisor.com/Restaurant_Review-g293934-d33021828-Reviews-Spice_Master-Baku_Absheron_Region.html,"Ismayil Bey Qutqasinli 80 Baku Azerbhaijan, Baku 4C1188 Azerbaijan",+994 51 853 41 84,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bubble Tea,https://www.tripadvisor.com/Restaurant_Review-g293934-d21007681-Reviews-Bubble_Tea-Baku_Absheron_Region.html,"Fikrat Amirov 2 Next To Landmark, Government House, Baku 1000 Azerbaijan",+994 55 306 57 79,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crazzy Aghabala,https://www.tripadvisor.com/Restaurant_Review-g293934-d24117133-Reviews-Crazzy_Aghabala-Baku_Absheron_Region.html,"Sherg Bazar, Baku Azerbaijan",+994 51 888 06 03,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Baku,https://www.tripadvisor.com/Restaurant_Review-g293934-d27539498-Reviews-No_Baku-Baku_Absheron_Region.html,"Fizuli Aliyev White City, Baku AZ1025 Azerbaijan",N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFFEELAB,https://www.tripadvisor.com/Restaurant_Review-g293934-d25103002-Reviews-COFFEELAB-Baku_Absheron_Region.html,"Tabriz Street, Baku Azerbaijan",+994 55 200 91 06,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bubbles Bubble Tea - Deniz Mall,https://www.tripadvisor.com/Restaurant_Review-g293934-d25273188-Reviews-Bubbles_Bubble_Tea_Deniz_Mall-Baku_Absheron_Region.html,"Neftchilar Ave., 26a Deniz Mall, Kinderland, Baku Azerbaijan",+994 50 200 26 33,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgian Chocolate & Coffee Hazi Aslanov,https://www.tripadvisor.com/Restaurant_Review-g293934-d30794976-Reviews-Belgian_Chocolate_Coffee_Hazi_Aslanov-Baku_Absheron_Region.html,N/A,+994 50 999 77 01,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ginger Coffee Bar,https://www.tripadvisor.com/Restaurant_Review-g293934-d29702662-Reviews-Ginger_Coffee_Bar-Baku_Absheron_Region.html,"Nariman Narimanov Avenue 9 Nariman Narimanov Avenue 9, Baku AZ1073 Azerbaijan",+994 55 622 35 22,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CozyCoffeshop,https://www.tripadvisor.com/Restaurant_Review-g293934-d25334936-Reviews-CozyCoffeshop-Baku_Absheron_Region.html,"Mahammad Hadı 64 Hazi Aslanov metro station, Baku AZ1129 Azerbaijan",+994 50 227 22 36,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee Shop BlueBird Coffees,https://www.tripadvisor.com/Restaurant_Review-g293934-d25378592-Reviews-Coffee_Shop_BlueBird_Coffees-Baku_Absheron_Region.html,"Y. Mammedaliyev, 25, Baku 1001 Azerbaijan",+994 50 999 12 34,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sensum Cafe Deniz Mall,https://www.tripadvisor.com/Restaurant_Review-g293934-d25965392-Reviews-Sensum_Cafe_Deniz_Mall-Baku_Absheron_Region.html,"Deniz Mall 4th floor, Near Flash Kart, Baku Azerbaijan",+994 55 208 84 51,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panda Bubble Tea,https://www.tripadvisor.com/Restaurant_Review-g293934-d27745956-Reviews-Panda_Bubble_Tea-Baku_Absheron_Region.html,"Haji Zeynalabdin Taghiyev St., 16, Baku 1005 Azerbaijan",+994 77 612 42 32,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakery Shop,https://www.tripadvisor.com/Restaurant_Review-g293934-d23823229-Reviews-Bakery_Shop-Baku_Absheron_Region.html,"6a Zarifa Aliyeva, Baku Azerbaijan",+994 70 580 08 80,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kofetearea,https://www.tripadvisor.com/Restaurant_Review-g293934-d24178656-Reviews-Kofetearea-Baku_Absheron_Region.html,"Inshaatchilar Avenue 12, Baku Azerbaijan",+994 12 525 04 05,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Organica Bakery (azadlig Branch),https://www.tripadvisor.com/Restaurant_Review-g293934-d27944443-Reviews-Organica_Bakery_azadlig_Branch-Baku_Absheron_Region.html,"Azerbaijan, Baku, Azadlig Ave 72, Baku Azerbaijan",+994 50 974 93 00,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teayoume,https://www.tripadvisor.com/Restaurant_Review-g293934-d26599035-Reviews-Teayoume-Baku_Absheron_Region.html,"Uzeyir Hajibayov 26, Baku Azerbaijan",+994 70 600 97 95,N/A,0,N/A,N/A,N/A,N/A,N/A,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Socialbee Coffee,https://www.tripadvisor.com/Restaurant_Review-g293934-d24971825-Reviews-Socialbee_Coffee-Baku_Absheron_Region.html,"Samed Vurgun 51 A Nizami 83, Baku 1000 Azerbaijan",+994 50 410 00 04,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Best Coffee,https://www.tripadvisor.com/Restaurant_Review-g293934-d24076939-Reviews-Best_Coffee-Baku_Absheron_Region.html,"Cabir Aliyev 52/1, Baku 1009 Azerbaijan",+994 55 777 00 18,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffeebistrobaku,https://www.tripadvisor.com/Restaurant_Review-g293934-d26788761-Reviews-Coffeebistrobaku-Baku_Absheron_Region.html,"8QF7+HF Lokbatan, Baku 1002 Azerbaijan",+994 55 223 83 38,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffeemania Next,https://www.tripadvisor.com/Restaurant_Review-g293934-d27533823-Reviews-Coffeemania_Next-Baku_Absheron_Region.html,"Ashiq Molla Juma 46e, Baku Azerbaijan",N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee Port,https://www.tripadvisor.com/Restaurant_Review-g293934-d27501328-Reviews-Coffee_Port-Baku_Absheron_Region.html,"31/53 H. Zardabi, Baku 1122 Azerbaijan",N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
